,topics,reflection
33,"[1, 4]",great service car ready on time and price was reasonable
34,[1],great price and service
35,"[7, 8]",staff with  went above and beyond to help me organise my booking and ordering my tires  the staff within the chosen garage were also quick and efficient  :)
36,[0],quick  convenient  hassle-free  no need to phone around for prices and i'm confident i save money 
37,[2],price was competative  fitting was easy
38,[2],' website was easy to use  gave clear options for tyres suitable for my car  tyres are good value for the good quality they are  the staff at the garage i chose were very friendly and flexible to fit my needs 
39,"[7, 11]",easy to order tyres  choose fitting centre and everything went smoothly
40,"[8, 11]",my tyre was fitted as per time and seem to be efficient   ost of the staff we pleasant
41,[8],excellent service very nice garage staff cfm northampton superb
42,"[3, 7]",great choice of tyres and prices  smooth ordering and fitting booking
43,[7],easy to order all ready when i got there fitted quickly with no issues at a good price
44,[1],great service great price you just have to pick the garage carefully
45,"[1, 7]",the prices are competitive and the local garage provides great service 
46,"[2, 6]",easy to navigate website  was sent notification of the appointment  but most important the suggested tyre fitter was excellent  i will be recommending and using  and their suggested fitter  merityre in bookham in the future
47,[11],easily arranged on line  decent price for tyres and only small extra charge for fitting at home  that was done by very pleasant fitter 
48,"[7, 11]",convenient  easy way to search for tyres and pick a garage and a time that is suitable
49,[3],good price  quality tyres 
50,[10],very good service  confidence in price 
51,"[5, 7]",simple ordering  convenient fitting and sensible prices
52,[8],ease of use the mechanics who fitted my tyres were very helpful 
53,[7],easy to order easy to get fitted at a time and place to suit
54,[4],happy with  but won’t be using the garage to fit them   the man at the garage was very rude to me   so when i need tyres again from  i won’t be going to just tyres in solihull off life lane
55,[5],competitive price and convenient fitting in northern ireland 
56,[1],service and price were incomparable to other similar services and fitter couldn’t of been anymore friendlier
57,[9],slow fitting 
58,"[2, 5]",great prices and selection of tyres  convenient fitting locations
59,[10],used them before and was happy with the quick service and price for full fitting
60,"[4, 11]",not a 10 as i found the garage a bit difficult to find
61,[10],good price  good service
62,"[3, 5]",always good online price and very convenient - and excellent - fitting service at sbservices  strathaven
63,[10],good prices  easy to arrange local fitting
64,[11],miles better price than anywhere else  selection of fitting centres and methods very versatile
65,"[4, 11]",more expensive
66,[10],good price  local fitters 
67,"[4, 9]",because the company fitting the tyres took a very long time to do the job almost as though they didnt like the fact the tyres had been booked through 
68,[9],contacted to change date as original date was changed by 
69,"[4, 7]",dropped the car off at the time stated on the order and 30 mins later ready to drive away simple great job 
70,[11],i knew about the superb service because i have bought tyres before from  
71,[0],efficient and good value
72,[2],good choice  easy to use  great pricing
73,"[5, 10]",this is the best price and range of tyres i could find also local garages and good times
74,[9],because it was hassle free  booked it online  took it to the garage on a saturday and collected after  it was cheaper than the garage i took the car to 
75,"[2, 3, 5]",i have used  on a number of occasions and have always received great service and a really good quality product  the number and locations of the approved fitting centres makes it easy to fit in with work 
76,[4],the process was simple and the tyre i bought was a good price  the only issue was that fitting it took 35 minutes from arriving at depot to leaving  which i felt was too long for a pre-arranged appointment 
77,[10],excellent service  good prices and lots choices 
78,"[2, 7]",easy to order and choose your own tyre fitter
79,[1],great price  great customer experience at the garage i chose  couldn’t fault the whole thing
80,"[3, 7]",excellent service  tyres delivered to the fitter arranged both tyres were fitted to my car in about thirty minutes  very good service 
81,"[3, 10]",good price and fitting was easy to arrange
82,"[1, 10]",good service and price  ‘faceless’ company
83,"[2, 11]",the website is easy to use and you can choose the garage you want to complete the work
84,"[7, 8]",excellent service  simple website ordering system  tyres delivered to my local garage and fitted in a timely manner 
85,[1],great service and competitive price
86,"[4, 11]",item went missing from my vehicle during the time it was with the company that fitted my tyres
87,[9],you missed the appointment time and told me the night before
88,[1],excellent all round  very competitive prices and the team were hugely helpful
89,"[5, 11]",unbeatable prices  brilliant way to purchase tyres and plenty of local garages to fit them i was unable to find a better deal elsewhere 
90,"[8, 10]",excellent service  very quick & efficient at a very good price
91,"[5, 11]",got the tyres i wanted with no hassle and at the best price 
92,"[2, 11]",easy to use web site  user friendly appointment fitting and importantly great prices and great range of tyres
93,[11],exactly what i wanted  as always  great prices and simple ordering  backed up by an excellent fitter  exactly what i want 
94,[2],good choice of products on the website  and efficient delivery and fitting process in conjunction with our local garage 
95,"[0, 8]",excellent service  and very good cost saving on tyres  would recommend 
96,"[3, 11]",very pleased  excellent price on line and then fitted locally  what’s not to like 
97,"[9, 10]",good price  arrived in time
98,"[6, 10]",excellent service and good price too  have used previously and will use again
99,[8],new tyres  ease of purchase  garage professional and courteous 
100,"[4, 7]",affordable and good online tyre data info  the only negative comment is i wanted to book at home service but could not book a slot except am or pm
101,"[2, 7]",nice and easy  the website nice and simple to use  a local garage fitted them at a time of my choosing  no issues or problems with the service 
102,[9],why the wait  purchasing the new tyre and booking an appointment for fitting was very straightforward  but i was rather disappointed that having made a booking i still had to wait around for nearly 2 hours at the garage when the actual fitting only took 20 mins tops 
103,[0],thought i’d already done this but it’s definitely worth doing again as i’m very satisfied with  and the authorised fitting firm shawfix  very good system efficient and great value for money  i highly recommend this company and i’m glad a friend of mine recommended them to me too 
104,[5],easy to use and faultless from start to finish
105,[4],everything done as expected  however either this fitter  or my local garage where i had a service done has put some finger marks on the inner roof lining  but i can't be sure which 
106,[7],tyres purchase and fitting  tyres fitted to my car locally at a great price kept informed of fitting date and time throughout all in all a fuss free and pleasurable experience which i will definitely use again 
107,[8],very friendly and professional  thanks for a speedy and painless turnaround  definitely will be using you again 
108,[3],great garage great tyres great service
109,"[0, 7]",quick and easy service from ordering the tyres to the fitting 
110,[7],good competitive price and fitted bang on time slot
111,"[1, 6, 7]",great service  easy to order with a first class fitting service
112,[9],busy garage  very busy garage make a appointment very pleased with the work that was done
113,[7],it was easy to pick the tyres i wanted at a great price  then select a garage and time that suits you 
114,"[6, 7]",excellent service and simple system for the whole process  would recommend to all and will definitely use again 
115,"[1, 2]",great service  very easy to use website  the staff at my local dealer - oak tree garage darlington road  dl6 2pa - were very polite  helpful and informative  overall a brilliant experience  i will definitely use them again 
116,"[4, 10]",new tyres  quick delivery to fitting centre that was also quick and very efficient  will def  use  and the garage again 
117,[9],very professional and helpful staff strongly recommend although i had slightly problems with one of the garage's date after i selected the convenient garage with their availability date and hour to fit four tyres for my car 15 minutes later i received an email from   saying that the nominated garage is fully booked on that day  the garages's deta bases have to be up to date with  system  many thanks to  staff were resolved the problem very quickly 
118,[7],will use again  ease of ordering on line  choice of garage  good price and pleased with service all round 
119,[1],excellent service  price is great   fast and great service  will always recommend 
120,[9],easy to use and garage was great  only crticism is that on  it said the slot was morning so i checked with them what that actualy meant  they said i could go anytime from 8 30 to 11 30  i booked the fitting and got an appointment time of 8 30  no flexibility as per first enquiry  i mentioned this to the garage and they told me they also get told what time slot it is by   this should be clearer up front 
121,[2],seamless hasslefree experience  seamless delivery  fitting and payment  good price too  i like being able to select the tyre i want in advance  there was a good range to suit my budget and being able to schedule it for a time/day that suits me is very handy 
122,"[0, 5]",very easy to use and a great saving on previous quotes  faultless from start to finish
123,"[5, 11]",never had any issues with the tyres  fitting or garages i’ve used via - easy and cost effective service 
124,"[2, 5]",the whole process is very slick  prices competitive  and the ratings of nearby fitters helpful to choose who to use  i have used  for a number of years now and never been let down 
125,[6],got high end tyres for an awesome price  definitely use again 
126,"[1, 10]",friendly service and advice very good prices through 
127,[2],great service and a nice easy way to choose tyres for your budget
128,"[4, 7]",no problem ordering online  quick and easy process  good choice of booking slots and pit stop convenient to get to  took guys longer than expected to change my tyres but could see that they were tired and had a very long and busy day  they were friendly and just nice guys  thanks for doing the job and will definitely use them again  cathy
129,"[5, 11]",this company wont leave you deflated  really easy peasy way to buy decent reasonably priced tyres with the ability to pick a fitting time | that suits your needs  used them now for the last four or five years and never had a problem 
130,"[1, 3]",reliable  fast  reliable and with excellent prices 
131,"[3, 8]",what a great service  the  website offered me a great price and the tyres were delivered to my local fitter promptly - as promised  the fitter at m d tyre & exhaust centre  gorse lane industrial estate  clacton was friendly and thorough  i would be quite happy to recommend this service 
132,[9],was quite happy to book with them  but the reason i only gave an average review my appointment was changed twice and i had other arrangements in place which i had to change
133,"[0, 10]",quick easy courteous fair value
134,"[3, 6]",good choice of tyres at a competitive price  this is the second time i have used them and both times i have been very happy with the service 
135,[4],tyres ok  but balance on wheels was set very wrong by garage  i gone abroad and had to stop in germany to set balance again because it was not possible to drive 
136,"[1, 7]",great service  great price and able to book a garage on line at a time that suits
137,[2],excellent  easy to navigate web page clear pricing structure   5 stars
138,"[8, 11]",got 4 tyres £150 cheaper and was fitted at my local ats same week would recommend them to anyone
139,"[4, 11]",tyres fitted at ats couldn’t fault them only issue is ats could have done same price and not moaned at having to fit tyres for  stating they didn’t like  other downside is  don’t offer tyre insurance but ats would have if i bought them from ats insurance at £9 per tyre  i don’t think i’d use  again or recommend them
140,[1],great price  no fuss
141,"[0, 7]",good value  easy to order and a good local garage to fit the tyre 
142,[7],very easy to order and quick to deliver
143,[4],tyres delivered quickly and excellent time slot for me  tyres delivered quickly and excellent time for fitting provided for me  the actual fitting took a bit longer than expected  apparently this was due to one of the new tyres not inflating on the rim  the fitter stated this was because the tyres are stored badly and when delivered they are slightly mis shapen and won’t fit on the rim properly  he did get there in the end after many attempts  pleased with the tyres and no other problems encountered 
144,"[0, 1, 2]",thank you again excellent service  value for money  exceptional service  easy to navigate website  what more do you need  thanks again  
145,[10],good prices easy to organise  buying on line easy with a good range of local fitters - chose a garage we know well and everything was done as expected with no hassles
146,"[10, 11]", does what it says on the tin you get the tyres you want fitted by your trusted local tyre fitter at a very good price
147,"[7, 9]",very happy  found a set i needed quickly online  booked a fitting when it suited me  had to change that time and did so with ease  the garage fitted tyres swiftly and on time  and i saved a few quid 
148,[3],good tyres  at a good price
149,[1],great service at a great price 
150,"[9, 11]",great as usual  we've purchased from  several times  this time from a completely different garage  they were really good  the tyre fitter was nice and very friendly  job was well done i can't recommend them enough and going through  meant cheaper too 
151,"[1, 6]",great service  not quite the cheapest this time but service at protyre weston-super-mare excellent 
152,"[3, 6]",good prices and good choice of fitting near me used many times before and will do in the future 
153,"[3, 7]",tires as ordered delivered on time and at a very good price  excellent service 
154,[5],best price for tyres and easy to deal with 
155,[2],good value and very wide choice of tyres  booking is easy and the fitting garage were very professional 
156,[0],good value convenient service  easy to change booking 
157,"[1, 3]",excellent service once againshoutout to lepsons garage also  great guys  excellent swift service 
158,[1],prompt efficient service at a very competitive price
159,[10],good service good tyres at the right price  thankyou
160,"[8, 10]",highly recommended  quick  convenient  efficient  good price too 
161,[4],great experience quick change of tires got the budget one's and they feel like premium one's
162,"[1, 8]",great service  came to my work  on time  and so quick  can’t fault them  will def use again 
163,"[4, 7, 9]",the ordering and booking process was straight forward  however the fitting of the tyres was delayed so had to hang around for over 45mins longer than expected  something beyond  influence 
164,"[1, 5]",easy to use and by far the cheapest around  great communication
165,"[7, 10]",good service and was able to have them fitted by a local garage all arranged through  will use them again 
166,[5],best quality tyres and cheapest prices i could find on the internet    will definitely use again   
167,"[1, 9]",excellent service  prompt and efficient replacement of 4 tyres at home at an agreed time on a saturday morning 
168,"[2, 6]",great price  easy to use website with the ability to use local garage for fitting  first time i have used  and will definately use them again
169,[7],tyres and fitting  tyres ordered into my local ats - cannot fault the service or price 
170,[2],excellent pricing  at a garage i have used and trusted before 
171,"[1, 8]",great price and service - highly recommended
172,"[1, 3]",very good service great prices  i had my tyres fitted at mckinnons in wellington  surrey  the service was quick efficient and the fitter was a good communicative type of chap  all in all very pleased with the price and fitment of the tyres 
173,"[4, 9]",nice idea but double check garage has equipment  it turned out that the garage selected didn’t have the equipment required to change the tyres  my husband ended up losing a day taking the car to a 2nd garage  there is now a clunking sound under the car - so will have to take it to a third garage to get this looked at 
174,"[2, 5]",easy to use website  local friendly fitting station quality product at the right price
175,"[5, 9]",consistently good  blackheath tyres coped very well on a busy morning and the quality tyres were fitted expertly  its the same every time i use  
176,"[1, 3]",excellent service  reliable product at a realistic price 
177,[11],simple and easy to use  tyres were cheaper than other places i looked and tyre fitting was very simple with lots of garages to pick from  all with date and times to suit everyone 
178,"[9, 10]",does what it says  good price promptly fitted does what it says on the tin what more can you say
179,[3],great tyres at a great price  excellent prompt fitting service at a & s tyres & wheels  highly recommended 
180,[11],very easy service  found the right tire for my car easily and able to get the tyre delivered fast to my local garage  will use again 
181,[8],excellent service  friendly staff and really helpful 
182,"[1, 6]",great service fantastic price very pleased always use  for my tyres
183,"[0, 4]",good service and value  good value and even when i made a mistake they recognised it and contacted me and sorted it all out  great service also from mcconnachies in sighthill  edinburgh who fitted the tyres 
184,[4],home fitted avon tyres  we had our avon tyres fitted at home to our new ford ecosport  very easy to order  the only thing i had to do was manually select the tyre size because the auto pick list against our licence chose a 16 inch rim  well the wrong tyre really  always best to check the numbers located on the wall of your tyre and you will be fine anyway second time chris has been and fitted tyres for us  great service  quality  price and you don't even have to leave home  tyres have made a big improvement to the cars noise levels  better braking and cornering in all weather  thanks chris and  
185,"[6, 7]",very easy to order  good communication  excellent price  delivered on time  would use again 
186,[1],quality  great price and great service
187,"[0, 4]",everything done online  good value for money  tyres seem to be good  but only time will tell if they are really good value 
188,"[7, 10]",very happy with the whole process  good selection and price  the garage were quick and efficient 
189,"[0, 2]",easy to use website  saved me over £100 on 2 tyres  simple decision 
190,"[2, 4]",quick and easy site to use  all the information was readily available no digging for small print ratings etc  i chose mobile fitment  they met in a convenient carpark near my work and changed my tyres there and then in 20 minutes 
191,"[2, 3]",easy website  great prices  choice of fitting dates and good communication
192,[0],good value for money
193,"[1, 3]",near perfect combination of competitive prices coupled with excellent service from fitters 
194,[3],good price for tyres and excellent fitting by local firm bathwick tyres
195,[8],on time   very polite and very efficient would highly recommend
196,[6], was recommended to me by family members and i had a good experience as well and would be happy to also do so  
197,[1],fast efficient service at a great price
198,"[1, 11]",easy  cheaper  great garage 
199,"[2, 11]",good selection and good prices  like the way you can compare the options provided like the tyre performance
200,"[0, 11]",like the value for money options you get  simple to use
201,"[5, 7, 11]",convenient to book and cheaper tyres than if go through the garages directly  simple and easy process from start to finish 
202,"[10, 11]",good price everything went smoothly
203,[10],very good price a exelent service with great local fitters 
204,"[2, 11]",it was really easy to select the tyres i wanted and to book an appointment with my local garage to get them fitted
205,"[3, 7]",easy to ourchas3 fitting was good
206,[0],easy  quick and simple  service at christian cars was incredible 
207,"[2, 10]",easy website to use  good competitive prices 
208,[11],easy pleasant transaction  well priced 
209,"[2, 5]",very easy to use and relatively cheap
210,"[5, 9]",best prices on web and convenient service - but might be different next time
211,"[7, 10]",really good straight forward service and very good price 
212,"[2, 6]",excellent value  great location choice and comprehensive website choice and experience  2nd time i've used you guys and i'd never go back 
213,[3],good choice in tyres and good prices
214,"[4, 9]",i chose 9 because the garage did a good job 1 point of for the garage owner being a bit off maybe because i was 10 mins late
215,[7],very easy process and good prices
216,"[1, 10]",local  good prices  friendly service 
217,[10],good prices  easy to organise
218,"[1, 10]",great service at my local garage and great price from 
219,"[3, 11]",locally fitted tyres and great backup when needed
220,[10],never used  before  the range of tyres were great at a really good price  i also had them fitted at a  tyre fitting place who were very quick and efficient 
221,[9],very good service although my appoint was for 15:00 hours i didn’t get my vehicle into the workshop till 15:20
222,[4],price as good facilities were good timing was good failure to torque up the front wheels before inviting me to drive off - not so good  an unease as i drove down the road turned into fear i would loose both wheels before i could get back to the fitters  the offer of £5 for my inconvenience was good  the failure to use the locking nut adapter properly  thereby destroying it and leaving me with no way to remove and replace wheels - not so good  ordering me a new adapter was good i still haven’t seen it yet a week later - not so good 
223,[8],cos the garage bm enterprises is excellent very professional and lovely people
224,[2],good prices  easy to use website and lots of garages to choose from for fitting 
225,[2],website easy to use   quick and convenient fitting arrangements with tyres fitted on drive by courteous technician in double quick time 
226,[10],easy  quick  good prices  local fitters 
227,"[6, 11]",because it would have been cheaper to use ats direct
228,[10],easy to access  good price  good service
229,[2],the web site is easy to use  excellent service in respect of delivery of tyres  fitting and price reasonable for premium tyres 
230,[11],price and tyre options and the ability to have them fitted locally and reliably
231,[2],good range and prices  easy to use
232,[11],i've used  previously several times for tyre purchase and fitting for three of my cars and each time the service has worked seamlessly and very efficiently  on a previous occasion  i needed to contact their cs dept  and was rapidly and properly served by a helpful  professional and friendly uk agent  lots of companies could potentially sell tyres only online but  com also have the uk national fitting service options fully covered  so each time  as now  i purchased tyres from  com and ordered a fitting service from ats euromaster at our branch in knutsford   the fact that  com deliver exactly the tyre you order online to your chosen fitting depot and it's always there for when you arrive for the fitting is great  in short  it all works without any fuss or issue  plus importantly  the  prices have always been the most competitive ; with or without the fitting element  so they tick every box  imho  did i miss anything    com and ats euromaster - individually and collectively brilliant  
233,[10],good prices - good service - good fitters
234,[2],t he site was very easy to use and a good choice of garages to use in my area
235,[10],great service and good price for tyres
236,[2],easy to use website and choice of garages 
237,"[2, 7]",price was reasonable  selection was mostly easy  convenient to have everything delivered and fitted nearby
238,[11],this was my 1st experience in buying tyres online and i have to say i'm totally pleased that i chose   the process of choosing and reading up about the tyres in my size and price range is very helpful and simple to do  and that also goes for choosing the garage and appointment time/date that suits me  the customer service is 1st class over the phone and in web chat forms  the phone app was recommended to me and i'll certainly be recommending it to other people i know  prices are slightly cheaper than the majority of the market and knowing that the price i pay includes fitting and vat means i don't need to separately pay the garage aswell  my experience with  was excellent  i will be using the service next time i require tyre services  takes the worry out of searching  buying and arranging fittings 
239,[2],was very easy to navigate site  pick tyres from the ratings and organize fitting locally 
240,[0],cost effective  easy to use and good service 
241,"[1, 10]",fast efficient service at a good price 
242,"[8, 10]",easy to use  good price  convenient garage with polite  helpful  friendly people 
243,[10],good quick service and cost similar to competitors
244,[2],very easy to find the correct tyres and book a local garage
245,[0],good value and service
246,[3],very good service  cheapest prices and good choice of fitting centres
247,"[3, 6]",2nd time using  and probably not the last  great prices and fitting is always problem free
248,"[7, 10]",good service good price order quickly sorted
249,"[2, 5]",fantastic pricing and availability of different fitting stations 
250,[1],very quick and efficient service  top marks to the durham team 
251,[7],price is very good   easy online purchase   ease of booking a time and day to suit
252,[3],good price and choice  fitting can be arranged when convenient to me 
253,[11],best online prices and conveniently located local garage to get the tyres changed and balanced 
254,"[3, 7]",good price and delivered on time
255,"[2, 10]",great prices and ease of use
256,"[6, 11]",a reasonable priced tyre and i got to choose where  and a time that suited me to get my tyre fitted  what could be better than that thank you  i will definitely use your services again if the need arises
257,"[2, 10]",good price  availability and options
258,[10],fast and organised fitting
259,"[1, 3]",excellent service  price and quality fitting 
260,"[5, 11]", provide top quality tyres at best prices and fit local to you 
261,[3],fast and good price plus excellent garage recommendation for fitting 
262,[8],tyre depot not very knowledgeable
263,[2],service was easy to use  easy to book local garage to fit tyre
264,"[2, 10]",lots of good fitters
265,[4],the ture fitters recommended by you damaged my alloy wheels and denied responsibility  it will cost me £150-£180 to repair the damage  not very cost effective 
266,[10],good service and fair price  
267,"[9, 11]",good price  exact tyre i wanted was available and could be fitted locally  web site issues by passed with a phone call
268,[2],good price easy to use picking a local garage to fit 
269,[8],quick efficient polite
270,[5],the best
271,[1],superb on price and service as ever 
272,[1],very efficient and competitive service
273,"[3, 5]",good prices on tyres  convenient fitting locations
274,[2],excellent service  easy to use website  good price for premium tyres   mr tyre lincoln always friendly and helpful
275,[0],easy on line system and excellent service at hi q at st austell 
276,"[10, 11]",really good experience very simple but could have got cheaper
277,"[0, 7]",booking online very easy  service at chosen provider good
278,[11],everything worked seamlessly to choosing the tyre to getting it fitted  
279,[7],i was pleased with my experience from purchasing online  booking a time slot  and my experience with the staff at the location chosen 
280,"[8, 10]",good price   no hassle  great fitter came
281,[0],simple efficient value service
282,[2],easy access to website  very good price for the tyres
283,[4],tyres seem perfect garage were ready for us and out in about 40 minutes perfect
284,[2],like the website and fitter was great
285,[8],friendly  professional  excellent 
286,[6],excellent price for the tyres that i bought and service too will definitely use and recommend to family and friends
287,"[3, 7]",good prices on the internet  fitting available within 2 days  great service at the fitting all done within 30 mins and a free coffee
288,"[2, 7]",easy to order  great choice  great price  easy local fitting 
289,"[3, 6]",very competitively priced and decent quality of tyres
290,"[1, 9]",the tyres arrived on time  and most importantly were fitted for me while i waited in 20 minutes  great services  good value  =happy customers  thank you 
291,[11],8 was too high and 6 was too low 
292,[10],very good service  god prices
293,[10],very easy to use  good prices and the garage were great
294,"[4, 7]",tyre changed really quickly and very convenient being able to have the job done at home 
295,"[2, 10]",easy to use website with good prices and good local fitting 
296,[2],"easy to select the right tyres  easy to find the fitter  ""cannot match their prices"" said the fitter"
297,[8],very honest people  quick service and lovely cuppa coffee while waiting 
298,[7],was really easy and the chosen garage was brilliant at fitting the tyres quickly 
299,[10],really simple to use great prices
300,"[1, 10]",great service and friendly local fitter
301,"[3, 7]",price  ease of buying  quality of service    repeated each time
302,"[1, 5]",quick service  best price in uk  only one year old tyres  thank you
303,"[4, 8, 10]",the guys at ats were friendly and efficient all done in very good time  they also advised me of fact that my exhaust was loose
304,[0],excellent value for money
305,[7],5 for   firstly  gave me a good choice of tyres & prices to choose from  ordering tyres & booking fitting was very easy  one of the reasons i chose   is that they offer saturday fitting so it doesn't affect my working week  got to fitters  which was only 15-20 minutes away  showed my order & they got started on it within 10-15 minutes  the staff at the garage were very friendly  listened to my instructions regarding which tyres needed changing & changed them quickly & efficiently  overall a very good experience which made getting new tyres for my car straight forward & convenient 
306,[8],fabulous service from  straight forward and super fast service from ats i would recommend it no hassle and no waiting around
307,[9],i was kept waiting for for some time after the original appointment  ok otherwise 
308,"[4, 9]",i give continental five stars good tyres for my nissan qashqai 2017 plate
309,"[1, 3]",satisfaction  from the start to the end professional excellent service and very reasonable pricesthe garage done a very excellent jobthank you gays
310,[1],no complaints  the price was competitive and the service was extremely smooth 
311,"[2, 10]",does what it says on the tin  good prices  easy to use website and local garages
312,[10],easy service and good price
313,[5],good service as always cheap tyres always buy from them 
314,"[1, 2]",quick service at a great price booking the fitting in to suit my shifts was a massive help as well 
315,"[4, 9]",i received the service i expected that i had prepaid fori ordered on line  selected a fitting centre and appointment time then turned up and had the new tyres fitted that i had paid fori waited in the reception area and 30 - 40 minutes later i was on my way again job donethat's what i expectedso i can't really add any more than thatnothing to complain about and nothing to be over exited about
316,"[7, 9]",easy process but problems with booking a fitting appointment  the website made it easy to find the correct tyre specifications for my vehicle  and to place the order  i was offered a number of fitting options and chose ats tyres  then selected a time slot to suit my convenience  unfortunately the time slot i selected was not available at ats and i had to wait a further two days for a convenient time  at which point the tyres were fitted quickly and professionally  would have given five stars apart from being offered a fitting time that they couldn't honour 
317,[9],autowise at bexhill were very good - no complaintsmy only issue was the original planned date had to be changed as the tyres were not available to be at autowise for the original date
318,"[1, 11]",great price  great service and fitted via local ats - magic 
319,[1],excellent service and price
320,[7],was so easy to find the tyres to fit my vehicle  there was a garage within less than a mile from me  they were very efficient and so helpful  have used  a few times now  never had a problem  would recommend them every time 
321,"[4, 5]",very good deal all fitted no fuss will be back for more tyres soon best deal going cant fault them
322,[11],provides a good service  this is third time i have used   which proves they are doing a great job  i found the tyres i was looking for at a competitive price and the tyres were delivered to the fitter ready to go on the date and time i selected  i also like that you can compare tyres on the website so can make an informed choice 
323,[4],easy way to fit new tyres  good experience from ordering to the fitting no hiccups just good old job done no quibbles  i have used before might not be the cheapest but the fitting partners win it for me 1 2 miles from home 
324,"[6, 11]",i would definitely recommend  as you can choose the tyres and the price that are suitable for you  also you can choose a local garage which  use to have the tyres fitted  i received an excellent service 
325,[5],good price and timely convenient fitting  i needed an urgent replacement for a badly damaged tyre and  came through as they have in the past at a good price with convenient fitting 
326,"[4, 8]",it took 3 bloody hours to fit just 4 new tyreswithout wheel alignmentwasted my day and rude staff at the garagethey havent got any idea about cars and tyres  i would not recommend it for anyone else   
327,[0],quick and efficient and very good value home service at just £6 extra 
328,[6],this is the second time i’ve used  and the service was excellent  all my future tyre purchases will be made through them  they are unbeatable on quality and value 
329,[8],yeah nice job  reasonabke price and everything was ready when i arrived a handforth dean tesco  professional staff all good 
330,"[1, 2, 9]",competitive excellent customer service  the site is incredibly easy to use and the choice of tyres and fitting locations is impressive  can't complain about the prices  where this company really impressed me was with the customer service  when it came to rearranging my fitting appointment and location all of the work was done on their end and they left me a nice voicemail and email to confirm the booking  there was no need for security questions and all of the usual nonsense  it was a straightforward human interaction  and it resulted in a streamlined experience  and a happy customer 
331,"[6, 9]",brilliant   from original enquiry to the fitting of the tyres would definitely recommend     
332,"[4, 9]", your appointment system is not fit for purpose i booked wed am but you offered thurs pm as the earliest appointment  you also stated that i should arrive early as the garage operates a first come first served  wrong  they operate an appointment system  mine was for 15 30hrs which you were informed of but failed to pass on  a reoccurring problem i am led to believe  the garage were excellent and revised their schedule to fit me in earlier  still a 3hr wait your quotes for tracking and alignment were totally inaccurate the only positive to come out of this debacle  on the day your tyre price was the cheapest i could find 
333,"[4, 9]",date and venue changed with less than 24 hours notice  the garage ‘couldn’t fit me in’ then when i asked if i could collect the tyre from there and take it to another authorised fitting centre i was told the tyre wasn’t there  how were they going to fit it if it wasn’t there in the first place 
334,"[2, 7]",great choice  easy to order fitted on time  perfect 
335,"[8, 9]",easy quick service  cheaper than most places and arranged for fitment at a local garage on my day off work  garage was friendly and helped swap wheels around as well as carried out extra work at the same time  will definitely use again 
336,"[1, 4]",great service at designated fitters  tyres already there when i arrived 
337,"[3, 10]",decent price based on discount offergreat mobile fitterwould use again
338,"[3, 8]",excellent experience  great tyres at a great price  arranged to have them fitted by a garage just 3 miles from home  all fitted in under 30 minutes would highly recommend  
339,"[1, 8]",helpful and fast service  the guys there were helpful and knowledgeable  my service was fast and efficient  will definitely be returning and would recommend 👍🏼
340,"[4, 6]",made a mistake with the tyres i ordered and the guy in the fitting station couldn't be more helpful in getting them changed for me always use  anyway but now recommend them to all my friends 
341,"[6, 7]",excellent from ordering to selected garage first class
